Id,Name,KPIId,ConditionKPIId,BackColor,FontColor,FontStyle,Disabled,Priority
6d1aacdb-2c36-423c-b5f8-0e92eee33595,Highlight_Zero_And_Enabled,8b4ab946-7ade-4e1f-a579-5cd10d835180,43e94bab-459a-48b4-81b6-62946a60e354,-3598,,0,FALSE,2
3a31a518-df2a-4080-91d3-1b7c06cde33a,disableKpiEditing,8b4ab946-7ade-4e1f-a579-5cd10d835180,04624e9f-426b-4969-91c7-b6edd57eba30,,,0,TRUE,4
a1fa5ca5-0733-442d-8036-1de37671f210,highlightCombinationToAvoidInOutOfGuideline,44664f1a-f8b6-40f7-a0eb-a4c9fd1e0457,8b977a54-806e-4179-8e4e-a9e804538c18,-1768444,,0,FALSE,1
e5cb5772-c786-4e09-b9b4-2d45492c0722,shelfPriceVisualState,850e96db-5269-4a0e-9c63-355e985b1ab8,a374d13e-fa75-4049-bf40-f0c00926a868,,-5043950,0,TRUE,1
655950e2-da7b-49c2-a659-40ab944a9a1b,GreenCombinationToRecommend,1ca862eb-4ab1-49bd-97fe-9b15e4f9d1ae,84b835b0-8b35-46b1-bf6e-edbaddf08631,-11542246,,0,FALSE,2
a51b00a5-dbbc-46df-a494-42cc81c63b40,agregateHighlightRed,1ca862eb-4ab1-49bd-97fe-9b15e4f9d1ae,7983cf55-158d-4a0e-9ac0-2ced594a5c8f,-1768444,,0,FALSE,1
b1a1b893-2540-4cb5-8433-4c9f9eff5ce9,EmptyMinBudgetedPromoprice,12e70200-28fc-49cf-9c74-9a4f261265dc,32cb9855-2ed4-4c75-9d07-cbdb3b23828c,-3598,,0,FALSE,1
cb335eef-74b7-4a47-bc35-4d1a0513f8c9,highlightGreenPromotionalTypeCheckGuideline,5dcb5331-5bb3-409d-86eb-c3639b7911aa,8be28b7e-0cef-4c84-8aa1-9a767d95a6cc,-11542246,,0,FALSE,2
ae977d75-123a-4a52-965a-5ac24e81f48a,highlightGreenCombinationToRecommend,d96ad067-bf8a-46ac-a2eb-65ad65d48aac,84b835b0-8b35-46b1-bf6e-edbaddf08631,-11542246,,0,FALSE,1
a315f222-d5b9-4fff-8e35-5ec1cfb447cb,disableKpiEditing,abc4773a-5d07-40b1-b3ac-b4d99f073bb7,04624e9f-426b-4969-91c7-b6edd57eba30,,,0,TRUE,1
7451d6b6-0a76-4df3-9d82-63b0abdfa6d4,RedHighlight,8b4ab946-7ade-4e1f-a579-5cd10d835180,dae382bc-79f0-46c7-8f11-4a586ab10f0a,,-3407615,1,FALSE,5
90e4b309-6a91-4ecc-bf89-93e4707ef067,disableKpiEditing,f50d3cb0-0bdc-4b15-af0d-c70728452c88,04624e9f-426b-4969-91c7-b6edd57eba30,,,0,TRUE,1
33446fa7-9921-4e1b-88e0-a14668e7061e,Highlight_Zero_And_Disabled,8b4ab946-7ade-4e1f-a579-5cd10d835180,4f5f0a72-4185-4e5f-9374-f19f059c2962,-3598,,0,TRUE,1
e43af9b9-7a24-4427-bf24-aae77b371c67,EmptyListingCustomerPriceAutomatically,4c6d1180-5336-4e2c-800c-e0b3751a1733,6e560050-41bb-4ed6-98ca-d989bb8421e6,-3598,,0,FALSE,1
a272ad68-c6d6-411b-ae17-c1f1beb900a3,highlightGreenCombinationToAvoidInOutOfGuideline,44664f1a-f8b6-40f7-a0eb-a4c9fd1e0457,588add38-617e-4324-8c2c-bd283c058b43,-11542246,,0,FALSE,2
a1de3c01-5775-4449-8d47-cea7ed2a5f23,highlightRedPromotionalTypeCheckGuideline,5dcb5331-5bb3-409d-86eb-c3639b7911aa,208b6a13-d70a-4764-aac8-772a2470dc22,-1768444,,0,FALSE,1
881f9b51-1466-44ec-b2e2-dedb066c16d6,disableKpiEditing,850e96db-5269-4a0e-9c63-355e985b1ab8,04624e9f-426b-4969-91c7-b6edd57eba30,,,0,TRUE,2
178c361e-1633-42e9-a543-e4dca2951743,disableKpiEditing,d06fb36d-522a-4bcf-b231-7a3cdef71366,04624e9f-426b-4969-91c7-b6edd57eba30,,,0,TRUE,1
0eabf391-8ae6-4a6a-bd1e-f82c0ccf3a0f,mostFrequentPromoShelfPriceGuideline,850e96db-5269-4a0e-9c63-355e985b1ab8,7550f4e0-eb14-4e19-8330-e9379733313e,,-5502702,1,FALSE,3
6a2d7652-ec7e-4928-8b27-fe9188e6af9c,promoPriceProposalManuallyVisualState,8b4ab946-7ade-4e1f-a579-5cd10d835180,f4bff778-2e52-4a39-9c17-3eb70e8105cb,,-3407615,0,TRUE,3